time,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z,body3_x,body3_y,body3_z
1555200.00000000,-1707867192.90914989,99613988516.24118042,-96127158865.92037964,-99622400645.36558533,-198339689323.98101807,99975880245.01573181,-294765363.49798501,-356996321.32042289,146003868337.38470459
1641600.00000000,-1801484792.39254689,99571328563.57774353,-95889326303.22148132,-99580866413.03961182,-198204139139.81793213,99973068954.07008362,-327277596.46971291,-396021564.65420473,145752588924.95672607
1728000.00000000,-1895472219.97915792,99526384922.25976562,-95648034715.63130188,-99537139417.86763000,-198063711990.15246582,99970083789.51380920,-361520307.15843111,-437069162.67221886,145497159605.02526855
1814400.00000000,-1989829146.83339500,99479149592.59968567,-95403274547.15168762,-99491215006.88517761,-197918397343.70458984,99966921711.71208191,-397498559.57309020,-480139647.04497695,145237571472.22747803
1900800.00000000,-2084555266.91621685,99429614389.74249268,-95155036029.17997742,-99443088368.32008362,-197768184308.80322266,99963579633.39035034,-435217548.03466189,-525233678.37485594,144973815403.08456421
1987200.00000000,-2179650297.15287876,99377770940.71701050,-94903309177.76225281,-99392754529.94609070,-197613061629.52755737,99960054418.08439636,-474682598.61282545,-572352046.36865723,144705882054.11834717
2073600.00000000,-2275113977.61197472,99323610681.39620972,-94648083790.76968384,-99340208357.37066650,-197453017681.69265747,99956342878.54592896,-515899170.61438280,-621495670.05255330,144433761859.91610718
2160000.00000000,-2370946071.69607735,99267124853.36402893,-94389349444.99620056,-99285444552.25549316,-197288040468.67544556,99952441775.10206604,-558872858.12442124,-672665598.02952492,144157445031.14309692
2246400.00000000,-2467146366.34430170,99208304500.68569946,-94127095493.17532349,-99228457650.46835327,-197118117617.07763672,99948347813.96659851,-603609391.60128689,-725863008.77942288,143876921552.50247192
2332800.00000000,-2563714672.24713182,99147140466.57882690,-93861311060.91441345,-99169242020.16462708,-196943236372.22164917,99944057645.50108337,-650114639.52647996,-781089211.00182021,143592181180.64184570
2419200.00000000,-2660650824.07386971,99083623389.98202515,-93591985043.54403687,-99107791859.79705811,-196763383593.47561646,99939567862.42364502,-698394610.11063027,-838345644.00184894,143303213442.00631714
2505600.00000000,-2757954680.71307898,99017743702.01808167,-93319106102.88038635,-99044101196.05191040,-196578545749.40328979,99934874997.96321106,-748455453.05676162,-897633878.11924958,143010007630.63720703
2592000.00000000,-2855626125.52642488,98949491622.34817505,-93042662663.89845276,-98978163881.70988464,-196388708912.73425293,99929975523.95692444,-800303461.38210356,-958955615.20089066,142712552805.91607666
2678400.00000000,-2953665066.61632347,98878857155.41389465,-92762642911.31367493,-98909973593.42985535,-196193858755.15023804,99924865848.88838196,-853945073.29976356,-1022312689.11704671,142410837790.25366211
2764800.00000000,-3052071437.10783577,98805830086.56336975,-92479034786.06971741,-98839523829.45359802,-195993980541.88238525,99919542315.86404419,-909386874.16162324,-1087707066.32175636,142104851166.72305298
2851200.00000000,-3150845195.44526911,98730399978.05784607,-92191825981.72972107,-98766807907.22955322,-195789059126.11462402,99914001200.52529907,-966635598.46388221,-1155140846.45761228,141794581276.63681030
2937600.00000000,-3249986325.70396662,98652556164.95475769,-91901003940.76873779,-98691818960.95333862,-195579078943.18801880,99908238708.89346313,-1025698131.91672611,-1224616263.00536752,141480016217.06741333
3024000.00000000,-3349494837.91779280,98572287750.86340332,-91606555850.76438904,-98614549939.02311707,-195364024004.60043335,99902250975.14469910,-1086581513.57965875,-1296135683.97877502,141161143838.31076050
3110400.00000000,-3449370768.42284775,98489583603.56887817,-91308468640.48326111,-98534993601.40736389,-195143877891.79595947,99896034059.31199646,-1149292938.06409597,-1369701612.66510963,140837951741.29205322
3196800.00000000,-3549614180.21796751,98404432350.51998901,-91006728975.86000061,-98453142516.92268372,-194918623749.73809814,99889583944.91107178,-1213839757.80488324,-1445316688.41185522,140510427274.91390991
3283200.00000000,-3650225163.34260321,98316822374.17655945,-90701323255.86631775,-98368989060.41931152,-194688244280.26058960,99882896536.48678589,-1280229485.40246606,-1522983687.46007347,140178557533.34609985
3369600.00000000,-3751203835.27269173,98226741807.21133423,-90392237608.26675415,-98282525409.87165833,-194452721735.18911743,99875967657.07679749,-1348469796.03750467,-1602705523.82500434,139842329353.25665283
3456000.00000000,-3852550341.33516932,98134178527.56167603,-90079457885.25808716,-98193743543.37126160,-194212037909.22756958,99868793045.58869934,-1418568529.95979905,-1684485250.22448134,139501729310.98391724
3542400.00000000,-3954264855.14181089,98039120153.32569885,-89762969658.98910522,-98102635236.01930237,-193966174132.60128784,99861368354.08705139,-1490533695.05345988,-1768326059.05578375,139156743719.64935303
3628800.00000000,-4056347579.04310989,97941554037.49765015,-89442758216.95745850,-98009192056.71580505,-193715111263.45043945,99853689144.98614502,-1564373469.48033428,-1854231283.42157841,138807358626.21072388
3715200.00000000,-4158798744.60295057,97841467262.53683472,-89118808557.27993774,-97913405364.84255981,-193458829679.96536255,99845750888.14453125,-1640096204.40377331,-1942204398.20564342,138453559808.45541382
3801600.00000000,-4261618613.09486818,97738846634.76422119,-88791105383.83267212,-97815266306.83653259,-193197309272.25613403,99837548957.85696411,-1717710426.79490900,-2032249021.19910240,138095332771.93389893
3888000.00000000,-4364807476.02072525,97633678678.58073425,-88459633101.25752258,-97714765812.65043640,-192930529433.94793701,99829078629.73904419,-1797224842.32368612,-2124368914.27793264,137732662746.83288574
3974400.00000000,-4468365655.65267849,97525949630.50074768,-88124375809.83067322,-97611894592.09719849,-192658469053.49334717,99820335077.49998474,-1878648338.33698583,-2218567984.63255310,137365534684.78839111
4060800.00000000,-4572293505.59935951,97415645432.99429321,-87785317300.18951416,-97506643131.07456970,-192381106505.19250488,99811313369.59834290,-1961989986.92625833,-2314850286.05033112,136993933255.63858032
4147200.00000000,-4676591411.39722919,97302751728.13084412,-87442441047.91362000,-97399001687.66630554,-192098419639.91162109,99802008465.77558899,-2047259048.08718085,-2413220020.25189352,136617842844.11647034
4233600.00000000,-4781259791.12813282,97187253851.01771545,-87095730207.95552063,-97288960288.11590576,-191810385775.48995972,99792415213.46180725,-2134464972.97394395,-2513681538.28216171,136237247546.48263550
4320000.00000000,-4886299096.06411457,97069136823.02526855,-86745167608.91679382,-97176508722.66900635,-191516981686.82449341,99782528344.04788208,-2223617407.25087309,-2616239341.95707417,135852131167.09815979
4406400.00000000,-4991709811.34062290,96948385344.79121399,-86390735747.16488647,-97061636541.28005981,-191218183595.62200928,99772342469.01795959,-2314726194.54418898,-2720898085.36700106,135462477214.93818665
4492800.00000000,-5097492456.65929317,96824983788.99566650,-86032416780.78585815,-96944333049.17909241,-190913967159.80667114,99761852075.93585205,-2407801379.99681664,-2827662576.43790245,135068268900.04650879
4579200.00000000,-5203647587.02154922,96698916192.89846802,-85670192523.36810303,-96824587302.29382324,-190604307462.57174683,99751051524.27851868,-2502853213.92926264,-2936537778.55131674,134669489129.93164062
4665600.00000000,-5310175793.49433613,96570166250.62959290,-85304044437.61193848,-96702388102.52241516,-190289179001.06265259,99739935041.10963440,-2599892155.60968876,-3047528812.22432041,134266120505.90531921
4752000.00000000,-5417077704.00937557,96438717305.22343445,-84933953628.75975037,-96577723992.85186768,-189968555674.67861938,99728496716.58572388,-2698928877.13643074,-3160640956.85063791,133858145319.36398315
4838400.00000000,-5524353984.19738483,96304552340.38702393,-84559900837.84107971,-96450583252.31695557,-189642410772.97961426,99716730499.28694153,-2799974267.43632746,-3275879652.50413465,133445545548.01443481
4924800.00000000,-5632005338.25880432,96167653971.99189758,-84181866434.72717285,-96320953890.79415894,-189310716963.18386841,99704630191.36428833,-2903039436.38235331,-3393250501.80596304,133028302852.04469299
5011200.00000000,-5740032509.87264824,96028004439.27890015,-83799830410.98880005,-96188823643.62503052,-188973446277.24188232,99692189443.49449158,-3008135719.03417110,-3512759271.85669613,132606398570.24151611
5097600.00000000,-5848436283.14517689,95885585595.76466370,-83413772372.55148315,-96054179966.06317139,-188630570098.47094727,99679401749.63334656,-3115274680.00536585,-3634411896.23481417,132179813716.05601501
5184000.00000000,-5957217483.60019016,95740378899.83787537,-83023671532.14167786,-95917010027.53852844,-188282059147.73431396,99666260441.55780029,-3224468117.96124363,-3758214477.06297684,131748528973.61930847
5270400.00000000,-6066376979.21283722,95592365405.03320312,-82629506701.51722717,-95777300705.73272705,-187927883469.14788818,99652758683.18655396,-3335728070.25123882,-3884173287.14355707,131312524693.71000671
5356800.00000000,-6175915681.48894119,95441525749.96972656,-82231256283.47552490,-95635038580.45872498,-187568012415.29711914,99638889464.66839600,-3449066817.68010855,-4012294772.16496658,130871780889.67604065
5443200.00000000,-6285834546.59194279,95287840147.94047546,-81828898263.63208008,-95490209927.33782959,-187202414631.94515991,99624645596.22683716,-3564496889.42225313,-4142585552.98035812,130426277233.31330872
