time,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z,body3_x,body3_y,body3_z
3283200.00000000,-2307727369.19615078,98317347310.73187256,-88683865996.45960999,-98442321883.20225525,-194911338297.24987793,100037806394.72309875,-1271710747.60160160,-1721209013.48198390,143195019601.73651123
3369600.00000000,-2374587225.23356771,98227337454.38050842,-88323338645.53575134,-98359759120.71127319,-194687781096.96142578,100039383875.43402100,-1339253654.05515957,-1811556357.41907930,142949554770.10174561
3456000.00000000,-2441839315.37605143,98134851902.16328430,-87959143968.93710327,-98274983546.67517090,-194459394203.39263916,100040968238.93728638,-1408617137.94877625,-1904257698.77064633,142700415729.99981689
3542400.00000000,-2509484560.84204435,98039878757.58839417,-87591268747.71540833,-98187987324.08755493,-194226160662.81652832,100042557461.66993713,-1479808115.07040501,-1999318094.77187037,142447591286.04547119
3628800.00000000,-2577523920.48988628,97942405881.10440063,-87219699513.65361023,-98098762416.45274353,-193988063082.00692749,100044149480.74729919,-1552833663.05737019,-2096742799.09749341,142191070032.90631104
3715200.00000000,-2645958391.52480364,97842420885.40034485,-86844422545.46604919,-98007300584.48606873,-193745083620.90344238,100045742192.43428040,-1627701023.98912668,-2196537264.49691391,141930840353.03176880
3801600.00000000,-2714789010.23231506,97739911130.56477356,-86465423864.90165710,-97913593382.70127869,-193497203985.02166748,100047333450.56202698,-1704417607.06641173,-2298707145.54310417,141666890414.33963013
3888000.00000000,-2784016852.73900986,97634863719.09886169,-86082689232.74731445,-97817632155.88156128,-193244405417.59988403,100048921064.88758850,-1782990991.37944126,-2403258301.49897146,141399208167.85974121
3974400.00000000,-2853643035.80170631,97527265490.77894592,-85696204144.72909546,-97719408035.43038940,-192986668691.47396851,100050502799.39363098,-1863428928.76792336,-2510196799.30497646,141127781345.33547974
4060800.00000000,-2923668717.62603617,97417103017.36326599,-85305953827.30845642,-97618911935.59820557,-192723974100.67123413,100052076370.52566528,-1945739346.77578211,-2619528916.69202423,140852597456.78280640
4147200.00000000,-2994095098.71555519,97304362597.13763428,-84911923233.37083435,-97516134549.58085632,-192456301451.71377563,100053639445.36357117,-2029930351.70361924,-2731261145.42385387,140573643788.00726318
4233600.00000000,-3064923422.75253153,97189030249.29463196,-84514097037.80364990,-97411066345.48542786,-192183630054.62124634,100055189639.72447205,-2116010231.76206946,-2845400194.67337799,140290907398.07916260
4320000.00000000,-3136154977.51161194,97071091708.14056396,-84112459632.96092224,-97303697562.15905762,-191905938713.60290527,100056724516.19348145,-2203987460.32935619,-2961952994.53764915,140004375116.76742554
4406400.00000000,-3207791095.80763149,96950532417.12414551,-83706995124.01141357,-97194018204.87590027,-191623205717.42776489,100058241582.07913208,-2293870699.31649733,-3080926699.69638634,139714033541.93228149
4492800.00000000,-3279833156.47887993,96827337522.68087769,-83297687324.16720581,-97082018040.87738037,-191335408829.46163940,100059738287.28950500,-2385668802.64376640,-3202328693.21925020,139419869036.87768555
4579200.00000000,-3352282585.40721416,96701491867.88645935,-82884519749.78947449,-96967686594.76062012,-191042525277.35913086,100061212022.12553406,-2479390819.83218575,-3326166590.52732754,139121867727.66390991
4665600.00000000,-3425140856.57646084,96572979985.91259766,-82467475615.36825562,-96851013143.70956421,-190744531742.39801025,100062660114.98721313,-2575045999.71398926,-3452448243.51458168,138820015500.38101196
4752000.00000000,-3498409493.17062855,96441786093.27825928,-82046537828.37266541,-96731986712.56320190,-190441404348.44293213,100064079829.98855591,-2672643794.26618338,-3581181744.83532524,138514297998.38409424
4838400.00000000,-3572090068.71352100,96307894082.88887024,-81621688983.96821594,-96610596068.71498108,-190133118650.52474976,100065468364.47677612,-2772193862.57151747,-3712375432.36410141,138204700619.49142456
4924800.00000000,-3646184208.25141764,96171287516.85595703,-81192911359.59742737,-96486829716.83721924,-189819649623.02124023,100066822846.45092773,-2873706074.91137934,-3846037893.83469534,137891208513.14648438
5011200.00000000,-3720693589.58057070,96031949619.08929443,-80760186909.42022705,-96360675893.42410278,-189500971647.42388916,100068140331.87503052,-2977190516.99533653,-3982177971.66536665,137573806577.54516602
5097600.00000000,-3795619944.52135611,95889863267.65310669,-80323497258.61009216,-96232122561.14639282,-189177058499.67529297,100069417801.88035583,-3082657494.33226776,-4120804767.97776985,137252479456.72969055
5184000.00000000,-3870965060.24099684,95745010986.87783813,-79882823697.50210571,-96101157403.01075745,-188847883337.06033325,100070652159.85128784,-3190117536.74826097,-4261927649.81744289,136927211537.65077209
5270400.00000000,-3946730780.62688208,95597374939.21832275,-79438147175.58885193,-95967767816.31643677,-188513418684.63409424,100071840228.38887024,-3299581403.05669928,-4405556254.58417320,136597986947.19993591
5356800.00000000,-4022919007.71260166,95446936916.84898376,-78989448295.35983276,-95831940906.40121460,-188173636421.16793823,100072978746.14575195,-3411060085.88620806,-4551700495.68099880,136264789549.21403503
5443200.00000000,-4099531703.15891600,95293678332.98619080,-78536707305.98027039,-95693663480.16868591,-187828507764.59503174,100074064364.52606201,-3524564816.67241859,-4700370568.39109993,135927602941.45416260
5529600.00000000,-4176570889.79200315,95137580212.92750549,-78079904096.80462646,-95552922039.38824463,-187478003256.93508911,100075093644.24296570,-3640107070.81977749,-4851576955.99234676,135586410452.56161499
5616000.00000000,-4254038653.20143366,94978623184.79705811,-77619018190.72050476,-95409702773.75865173,-187122092748.67718506,100076063051.72682190,-3757698573.03994417,-5005330436.11980057,135241195138.99363708
5702400.00000000,-4331937143.40045071,94816787469.98585510,-77154028737.31794739,-95263991553.72595215,-186760745382.59869385,100076968955.37583923,-3877351302.87362528,-5161642087.38707829,134891939781.94204712
5788800.00000000,-4410268576.55126858,94652052873.27528381,-76684914505.87950134,-95115773923.04571533,-186393929576.99713135,100077807621.64111328,-3999077500.40304422,-5320523296.27807426,134538626884.23832703
5875200.00000000,-4489035236.75823402,94484398772.63151550,-76211653878.18594360,-94965035091.07920837,-186021613008.31024170,100078575210.93711853,-4122889672.16258907,-5481985764.32120991,134181238667.24876404
5961600.00000000,-4568239477.93184280,94313804108.65815735,-75734224841.13249207,-94811759924.81262207,-185643762593.09899902,100079267773.36843872,-4248800597.25555944,-5646041515.55908203,133819757067.76399231
6048000.00000000,-4647883725.72677135,94140247373.69352722,-75252604979.15037537,-94655932940.58792114,-185260344469.36633301,100079881244.26278687,-4376823333.68533421,-5812702904.32711697,133454163734.88752747
6134400.00000000,-4727970479.55721951,93963706600.53878784,-74766771466.42808533,-94497538295.53311157,-184871323977.18307495,100080411439.49977112,-4506971224.90969563,-5981982623.35563755,133084440026.92825317
